parameter,value,sd,parameter_name,source_name,source_type,source_link,distribution,dist_param1,dist_param2,notes
n_t,660,,Number of time periods,Model assumption (NICE reference case),Model assumption,,fixed,,,55 years x 12 months; lifetime horizon; entry age ~25 (midpoint 16-35) to age 80. NICE reference case for CEA of interventions preventing chronic-disease events.
n_c,100000,,Number of cohort individuals,Model assumption,,,fixed,,,Standard cohort size; matches decision tree denominator (100000 screened migrants)
discount,0.035,,Discount rate,NICE Health Technology Evaluations: the Manual (PMG36 2022),Clinical guideline (NICE),https://www.nice.org.uk/process/pmg36/chapter/economic-evaluation-2,fixed,,,UK standard: 3.5% for costs and health effects per NICE reference case (PMG36 replaced PMG9 in Jan 2022; same 3.5% rate retained)
Cost_Uninfected,0,,Cost - Uninfected state,Model assumption,Model assumption,,fixed,,,No TB-related healthcare costs for uninfected individuals
Cost_LatentUndiagnosed,0,,Cost - Latent TB undiagnosed,Model assumption,Model assumption,,fixed,,,No costs incurred if LTBI remains undiagnosed
Cost_LatentDiagnosed,5,2.50,Cost - Latent TB diagnosed,Curtis and Burns PSSRU 2022; NICE NG33,Unit costs reference; Clinical guideline (NICE),https://www.nice.org.uk/guidance/ng33,gamma,4,1.25,NICE NG33 recommends follow-up at 3 and 12 months for diagnosed LTBI. Derived: 2 annual community nurse contacts × £28/contact (PSSRU 2022 practice nurse per-contact cost) = £56/year = £4.67/mo → rounded to £5/mo.
Cost_LatentTreated,64,16.00,Cost - Latent TB under treatment,Snoad et al. 2025 medRxiv,Preprint (UK micro-costing),https://doi.org/10.1101/2025.01.29.25321354,gamma,16,4.0,TB_costs_UK.xlsx (Treatment sheet). 3HR (Rifinah 3mo): drugs £79.88 + tests £4.58 + staff £108.21 = £192.67 total / 3 months = £64.22/mo. Consistent with completion rate based on 3HR/Surey 2021.
Cost_LatentNotreated,5,2.50,Cost - Latent TB not treated,Curtis and Burns PSSRU 2022; NICE NG33,Unit costs reference; Clinical guideline (NICE),https://www.nice.org.uk/guidance/ng33,gamma,4,1.25,NICE NG33 recommends follow-up for LTBI patients who decline treatment. Derived: 2 annual community nurse contacts × £28/contact (PSSRU 2022 practice nurse per-contact cost) = £56/year = £4.67/mo → rounded to £5/mo. Same derivation as Cost_LatentDiagnosed; lower confidence as NICE NG33 specifies no mandated follow-up frequency for declining patients.
Cost_LatentCompleted,0,,Cost - Latent TB treatment completed,Model assumption,Model assumption,,fixed,,,No ongoing costs post-LTBI treatment completion
Cost_LatentDiscontinued,5,2.50,Cost - Latent TB treatment discontinued,Curtis and Burns PSSRU 2022; NICE NG33,Unit costs reference; Clinical guideline (NICE),https://www.nice.org.uk/guidance/ng33,gamma,4,1.25,NICE NG33 recommends monitoring after LTBI treatment discontinuation. Derived: 2 annual community nurse contacts × £28/contact (PSSRU 2022 practice nurse per-contact cost) = £56/year = £4.67/mo → rounded to £5/mo. Same derivation as Cost_LatentDiagnosed; lower confidence as no NHS tariff published for this patient group.
